iter	Passed	Remaining
727	11851	2800
728	11865	2783
729	11880	2766
730	11894	2749
731	11909	2733
732	11923	2716
733	11939	2700
734	11955	2683
735	11971	2667
736	11986	2650
737	12001	2634
738	12015	2617
739	12029	2601
740	12045	2584
741	12060	2568
742	12076	2551
743	12092	2535
744	12110	2519
745	12126	2503
746	12142	2486
747	12158	2470
748	12174	2454
749	12190	2438
750	12205	2421
751	12220	2405
752	12236	2388
753	12252	2372
754	12268	2356
755	12283	2339
756	12298	2323
757	12313	2306
758	12329	2290
759	12344	2273
760	12361	2257
761	12376	2241
762	12390	2224
763	12407	2208
764	12422	2192
765	12437	2175
766	12452	2159
767	12468	2143
768	12485	2126
769	12502	2110
770	12517	2094
771	12532	2077
772	12549	2061
773	12565	2045
774	12581	2029
775	12597	2013
776	12612	1996
777	12628	1980
778	12645	1964
779	12664	1948
780	12679	1932
781	12695	1915
782	12711	1899
783	12727	1883
784	12744	1867
785	12760	1850
786	12775	1834
787	12792	1818
788	12807	1801
789	12823	1785
790	12839	1769
791	12853	1752
792	12869	1736
793	12886	1720
794	12903	1704
795	12919	1688
796	12935	1671
797	12951	1655
798	12967	1639
799	12982	1622
800	12998	1606
801	13014	1590
802	13031	1574
803	13047	1557
804	13063	1541
805	13079	1525
806	13094	1509
807	13110	1492
808	13129	1476
809	13144	1460
810	13160	1444
811	13175	1427
812	13191	1411
813	13204	1395
814	13220	1378
815	13235	1362
816	13251	1346
817	13265	1329
818	13282	1313
819	13298	1297
820	13316	1281
821	13333	1265
822	13348	1248
823	13363	1232
824	13379	1216
825	13396	1200
826	13413	1184
827	13429	1167
828	13445	1151
829	13458	1135
830	13472	1118
831	13488	1102
832	13504	1086
833	13519	1069
834	13535	1053
835	13551	1037
836	13568	1021
837	13585	1005
838	13601	988
839	13619	972
840	13636	956
841	13653	940
842	13671	924
843	13692	908
844	13713	892
845	13729	876
846	13746	860
847	13762	843
848	13779	827
849	13795	811
850	13811	795
851	13827	778
852	13841	762
853	13857	746
854	13871	730
855	13887	713
856	13902	697
857	13919	681
858	13935	665
859	13951	648
860	13966	632
861	13981	616
862	13998	600
863	14015	583
864	14030	567
865	14044	551
866	14059	535
867	14074	518
868	14090	502
869	14107	486
870	14126	470
871	14148	454
872	14164	438
873	14180	421
874	14196	405
875	14213	389
876	14228	373
877	14243	356
878	14259	340
879	14274	324
880	14289	308
881	14303	291
882	14319	275
883	14335	259
884	14351	243
885	14365	226
886	14380	210
887	14396	194
888	14412	178
889	14428	162
890	14442	145
891	14458	129
892	14472	113
893	14488	97
894	14504	81
895	14520	64
896	14536	48
897	14552	32
898	14567	16
899	14582	0
